model,model_display,n_shots,seed,condition,auroc
ep_prior_no_ep,EP-Prior (No EP Loss),50,0,STTC,0.5315954708446786
ep_prior_no_ep,EP-Prior (No EP Loss),50,0,CD,0.5219132614381563
ep_prior_no_ep,EP-Prior (No EP Loss),50,0,HYP,0.5658515235631821
ep_prior_no_ep,EP-Prior (No EP Loss),50,1,NORM,0.5994921403676937
ep_prior_no_ep,EP-Prior (No EP Loss),50,1,MI,0.5569527802294792
ep_prior_no_ep,EP-Prior (No EP Loss),50,1,STTC,0.558844568664682
ep_prior_no_ep,EP-Prior (No EP Loss),50,1,CD,0.6159854630226298
ep_prior_no_ep,EP-Prior (No EP Loss),50,1,HYP,0.566253706390764
ep_prior_no_ep,EP-Prior (No EP Loss),50,2,NORM,0.5790591984394247
ep_prior_no_ep,EP-Prior (No EP Loss),50,2,MI,0.543918799646955
ep_prior_no_ep,EP-Prior (No EP Loss),50,2,STTC,0.5558870892977933
ep_prior_no_ep,EP-Prior (No EP Loss),50,2,CD,0.5225387115727227
ep_prior_no_ep,EP-Prior (No EP Loss),50,2,HYP,0.5565047157908019
ep_prior_no_ep,EP-Prior (No EP Loss),100,0,NORM,0.6183855276821337
ep_prior_no_ep,EP-Prior (No EP Loss),100,0,MI,0.5855990732568402
ep_prior_no_ep,EP-Prior (No EP Loss),100,0,STTC,0.5754128625172682
ep_prior_no_ep,EP-Prior (No EP Loss),100,0,CD,0.573466699518593
ep_prior_no_ep,EP-Prior (No EP Loss),100,0,HYP,0.5864693079300991
ep_prior_no_ep,EP-Prior (No EP Loss),100,1,NORM,0.6434640399224757
ep_prior_no_ep,EP-Prior (No EP Loss),100,1,MI,0.5916229037952339
ep_prior_no_ep,EP-Prior (No EP Loss),100,1,STTC,0.55025940893905
ep_prior_no_ep,EP-Prior (No EP Loss),100,1,CD,0.6254311815321634
ep_prior_no_ep,EP-Prior (No EP Loss),100,1,HYP,0.5998162576493596
ep_prior_no_ep,EP-Prior (No EP Loss),100,2,NORM,0.6146968187302668
ep_prior_no_ep,EP-Prior (No EP Loss),100,2,MI,0.5669913945278022
ep_prior_no_ep,EP-Prior (No EP Loss),100,2,STTC,0.5387305042708337
ep_prior_no_ep,EP-Prior (No EP Loss),100,2,CD,0.5641512831204276
ep_prior_no_ep,EP-Prior (No EP Loss),100,2,HYP,0.5762629329379849
ep_prior_no_ep,EP-Prior (No EP Loss),500,0,NORM,0.7105687775633669
ep_prior_no_ep,EP-Prior (No EP Loss),500,0,MI,0.6244075463371581
ep_prior_no_ep,EP-Prior (No EP Loss),500,0,STTC,0.6170705159679851
ep_prior_no_ep,EP-Prior (No EP Loss),500,0,CD,0.6807847030059513
ep_prior_no_ep,EP-Prior (No EP Loss),500,0,HYP,0.6389206516938994
ep_prior_no_ep,EP-Prior (No EP Loss),500,1,NORM,0.7179672161472457
ep_prior_no_ep,EP-Prior (No EP Loss),500,1,MI,0.6364684466019417
ep_prior_no_ep,EP-Prior (No EP Loss),500,1,STTC,0.607271004226769
ep_prior_no_ep,EP-Prior (No EP Loss),500,1,CD,0.6641901368409081
ep_prior_no_ep,EP-Prior (No EP Loss),500,1,HYP,0.6135515898050596
ep_prior_no_ep,EP-Prior (No EP Loss),500,2,NORM,0.7067304013688667
ep_prior_no_ep,EP-Prior (No EP Loss),500,2,MI,0.6318038393645189
ep_prior_no_ep,EP-Prior (No EP Loss),500,2,STTC,0.6154384085464745
ep_prior_no_ep,EP-Prior (No EP Loss),500,2,CD,0.6526844604071111
ep_prior_no_ep,EP-Prior (No EP Loss),500,2,HYP,0.6348712226357959
baseline,Baseline (Unstructured),10,0,NORM,0.5991078823346409
baseline,Baseline (Unstructured),10,0,MI,0.5163879082082966
baseline,Baseline (Unstructured),10,0,STTC,0.6194786183626964
baseline,Baseline (Unstructured),10,0,CD,0.506185796596035
baseline,Baseline (Unstructured),10,0,HYP,0.6029883761276891
baseline,Baseline (Unstructured),10,1,NORM,0.6834840516099739
baseline,Baseline (Unstructured),10,1,MI,0.568918799646955
baseline,Baseline (Unstructured),10,1,STTC,0.7361468301520971
baseline,Baseline (Unstructured),10,1,CD,0.6775129354459649
baseline,Baseline (Unstructured),10,1,HYP,0.6759668159737557
baseline,Baseline (Unstructured),10,2,NORM,0.7965845598900199
baseline,Baseline (Unstructured),10,2,MI,0.47514563106796115
baseline,Baseline (Unstructured),10,2,STTC,0.7702711518718304
baseline,Baseline (Unstructured),10,2,CD,0.637917677495167
baseline,Baseline (Unstructured),10,2,HYP,0.5357725853258469
baseline,Baseline (Unstructured),50,0,NORM,0.8240997893727849
baseline,Baseline (Unstructured),50,0,MI,0.6645984112974405
baseline,Baseline (Unstructured),50,0,STTC,0.7950148617916328
baseline,Baseline (Unstructured),50,0,CD,0.6275006159736174
baseline,Baseline (Unstructured),50,0,HYP,0.679113305154249
baseline,Baseline (Unstructured),50,1,NORM,0.8614392439281766
baseline,Baseline (Unstructured),50,1,MI,0.671504854368932
baseline,Baseline (Unstructured),50,1,STTC,0.8451500886442636
baseline,Baseline (Unstructured),50,1,CD,0.7276164663962701
baseline,Baseline (Unstructured),50,1,HYP,0.7180422370828339
baseline,Baseline (Unstructured),50,2,NORM,0.8587830707850382
baseline,Baseline (Unstructured),50,2,MI,0.6233340688437776
baseline,Baseline (Unstructured),50,2,STTC,0.7827511654231291
baseline,Baseline (Unstructured),50,2,CD,0.7361323016564952
baseline,Baseline (Unstructured),50,2,HYP,0.66589253043972
baseline,Baseline (Unstructured),100,0,NORM,0.8675814866665825
baseline,Baseline (Unstructured),100,0,MI,0.7068126654898501
baseline,Baseline (Unstructured),100,0,STTC,0.824142142135268
baseline,Baseline (Unstructured),100,0,CD,0.6972359368484894
baseline,Baseline (Unstructured),100,0,HYP,0.7098034035707527
baseline,Baseline (Unstructured),100,1,NORM,0.8715703709309219
baseline,Baseline (Unstructured),100,1,MI,0.714511253309797
baseline,Baseline (Unstructured),100,1,STTC,0.8244454440053244
baseline,Baseline (Unstructured),100,1,CD,0.7309273245896668
baseline,Baseline (Unstructured),100,1,HYP,0.7020594126553531
baseline,Baseline (Unstructured),100,2,NORM,0.8710583071625866
baseline,Baseline (Unstructured),100,2,MI,0.6901368049426302
baseline,Baseline (Unstructured),100,2,STTC,0.8178071389248464
baseline,Baseline (Unstructured),100,2,CD,0.7412342215988781
baseline,Baseline (Unstructured),100,2,HYP,0.7267345120181693
baseline,Baseline (Unstructured),500,0,NORM,0.8915004981901196
baseline,Baseline (Unstructured),500,0,MI,0.7524624889673432
baseline,Baseline (Unstructured),500,0,STTC,0.8735299873986658
baseline,Baseline (Unstructured),500,0,CD,0.7780457526249951
baseline,Baseline (Unstructured),500,0,HYP,0.7595478991861713
baseline,Baseline (Unstructured),500,1,NORM,0.8913710108004255
baseline,Baseline (Unstructured),500,1,MI,0.7597572815533981
baseline,Baseline (Unstructured),500,1,STTC,0.8718841455528507
baseline,Baseline (Unstructured),500,1,CD,0.785917184716273
baseline,Baseline (Unstructured),500,1,HYP,0.7585779288372972
baseline,Baseline (Unstructured),500,2,NORM,0.8860906159479695
baseline,Baseline (Unstructured),500,2,MI,0.7535061782877318
baseline,Baseline (Unstructured),500,2,STTC,0.8831223382399566
baseline,Baseline (Unstructured),500,2,CD,0.7731641617072893
baseline,Baseline (Unstructured),500,2,HYP,0.7567503627531387
