shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.6777939596593315,0.3946899402526295,50
10,1,concat,0.6907868184040795,0.4164818686021565,50
10,2,concat,0.6855375199182754,0.4136871055457867,50
50,0,concat,0.7642191865779792,0.49209809418107014,250
50,1,concat,0.7744781548986635,0.5079312878047667,250
50,2,concat,0.758589876191436,0.4852542274271777,250
100,0,concat,0.7929579969149346,0.5302589099765059,500
100,1,concat,0.7928381058637342,0.5292810949792017,500
100,2,concat,0.7914079082645,0.5253128381398783,500
500,0,concat,0.8099097885337094,0.5584461725464147,2500
500,1,concat,0.8098635601420477,0.5571811117728719,2500
500,2,concat,0.8114335162125584,0.5624389460037749,2500
